%time,field.x,field.y,field.z,real->,field.x,field.y
1376085763535840000,1,5,0,,-108.672317505,11
1376085763544360000,1,4,0,,-108.486534119,12
1376085763553970000,1,4,0,,-108.518783569,12
1376085763565790000,9,3,0,,-106.352455139,13
1376085763578440000,9,1,0,,-106.706176758,15
1376085763594290000,9,1,0,,-106.152900696,17
1376085763608460000,6,4,0,,-105.990905762,18
1376085763619660000,5,3,0,,-106.154548645,19
1376085763631540000,5,2,0,,-106.083938599,20
1376085763642520000,8,3,0,,-105.971092224,21
1376085763655610000,8,2,0,,-105.903549194,22
1376085763666400000,10,3,0,,-105.785797119,23
1376085763676460000,10,2,0,,-105.676574707,24
1376085763687360000,10,6,0,,-105.676574707,24
1376085763700260000,266,45,0,,150.723342896,75
1376085763710420000,266,45,0,,150.723342896,75
1376085763723110000,10,3,0,,-105.679496765,27
1376085763740860000,9,3,0,,-106.198822021,27
1376085763756690000,9,4,0,,-106.921226501,28
1376085763771540000,8,6,0,,-107.418563843,28
1376085763786610000,251,3,0,,135.863098145,37
1376085763799290000,256,2,0,,136.66242981,38
1376085763807090000,257,2,0,,137.386978149,38
1376085763817230000,257,3,0,,137.798965454,39
1376085763832550000,256,2,0,,138.565689087,40
1376085763847650000,257,3,0,,139.866897583,41
1376085763860090000,262,2,0,,140.614395142,42
1376085763868280000,262,2,0,,140.914749146,42
1376085763880850000,263,3,0,,141.839370728,43
1376085763894270000,266,2,0,,142.591339111,44
1376085763902140000,266,2,0,,142.815597534,44
1376085763915830000,267,3,0,,143.957778931,45
1376085763930500000,268,4,0,,144.575149536,46
1376085763943000000,269,2,0,,145.268661499,46
1376085763956310000,269,1,0,,145.909820557,47
1376085763967690000,272,3,0,,146.822784424,47
1376085763979950000,273,2,0,,147.515441895,48
1376085763990300000,273,0,0,,147.997390747,48
1376085763997930000,274,0,0,,148.422363281,48
1376085764007020000,275,1,0,,148.811065674,49
1376085764021510000,277,1,0,,149.506530762,49
1376085764034810000,278,1,0,,150.306808472,49
1376085764049820000,278,1,0,,150.306808472,49
1376085764057760000,278,1,0,,150.306808472,49
1376085764066950000,280,1,0,,150.306808472,49
1376085764076560000,280,1,0,,150.306808472,49
1376085764087470000,282,1,0,,150.306808472,49
1376085764099070000,282,1,0,,150.306808472,49
